Id,Word,Transcription
718,OTTERSON'S,AA T ER S AH N Z
719,POROUS,P AO R AH S
720,MONTENAY,M AA N T AH N EY
721,KRAVIS,K R AE V IH S
722,RAU,R AW
723,BLOOD'S,B L AH D Z
724,JOONG,JH UH NG
725,DEMPSEY,D EH M P S IY
726,SLOVONIA,S L AH V OW N IY AH
727,VINCENTIA,V IY N CH EH N SH AH
728,VUKOVICH,V UW K AH V IH CH
729,CROWLEY'S,K R AW L IY Z
730,PELOSO,P EH L OW S OW
731,PRESIDENTIALIST,P R EH Z AH D EH N CH AH L IH S T
732,ALLY'S,AH L AY Z
733,TRINKET,T R IH NG K AH T
734,COLLIDED,K AH L AY D IH D
735,BANPAIS,B AE N P EY
736,GRAW,G R AO
737,HANING,HH EY N IH NG
738,JICHA,JH IH CH AH
739,VAULTED,V AO L T AH D
740,SHROUDED,SH R AW D IH D
741,HEBER,HH IY B ER
742,SALINA,S AH L IY N AH
743,SEDONA,S AH D OW N AH
744,EDDIES,EH D IY Z
745,VOGELGESANG,V AA G IH L G IH S AH NG
746,ACOFF,AE K AO F
747,VIPOND,V IH P AH N D
748,KETTLE,K EH T AH L
749,FIERO,F IY R OW
750,CARROLL,K EH R AH L
751,KLYNVELD,K L IH N V EH L D
752,RESCUER,R EH S K Y UW ER
753,KALLAL,K AE L AH L
754,ECK,EH K
755,WARPS,W AO R P S
756,YAMAICHI'S,Y AA M AA IY CH IY Z
757,SYNALLOY,S IH N AE L OY
758,LUFTHANSA'S,L AH F T AE N Z AH Z
759,DISMEMBERING,D IH S M EH M B ER IH NG
760,MEIR,M IH R
761,NOWLAND,N AW L AH N D
762,SOLDAN,S OW L D AH N
763,YARMULKE,Y AA R M AH K AH
764,FORAGES,F AO R AH JH AH Z
765,CAPSULES,K AE P S AH L Z
766,RAVI,R AA V IY
767,KERZNER,K ER Z N ER
768,GRIESINGER,G R IY S IH NG ER
769,PLACENTA,P L AH S EH N T AH
770,SCHEIBLE,S K AY B AH L
771,LERCHE,L ER CH
772,SEMIPRECIOUS,S EH M AY P R EH SH AH S
773,HOOVER,HH UW V ER
774,CONSTITUENTS,K AH N S T IH CH UW AH N T S
775,ALTERING,AO L T ER IH NG
776,ACQUITTED,AH K W IH T IH D
777,ENVIOUS,EH N V IY AH S
778,CAILLEBOTTE,K AY B AO T
779,ANACOSTIA'S,AE N AH K AA S T IY AH Z
780,GRELLE,G R EH L
781,OVERTAKEN,OW V ER T EY K AH N
782,ROSS',R AA S
783,MONONUCLEAR,M AA N AH N UW K L IY ER
784,ARIANISM,AE R IY AH N IH Z AH M
785,ALDANA,AA L D AE N AH
786,ALLOR,AO L ER
787,UNDERWRITING,AH N D ER R AY T IH NG
788,LAHOOD,L AA HH UH D
789,SNEAKED,S N IY K T
790,WONT,W OW N T
791,WHITT,HH W IH T
792,FERENCE,F IH R AH N S
793,BEHOFF,B IY HH AA F
794,LAY-UP,L EY AH P
795,TRILLIN,T R IH L IH N
796,QUICKEST,K W IH K IH S T
797,DEPO,D EH P OW
798,RATION,R EY SH AH N
799,KOWABUNGA,K AW AH B AH NG G AH
800,ARAFAT'S,AA R AH F AA T S
801,POSTHOLE,P OW S T HH OW L
802,SHARYL,SH AA R AH L
803,HILDEBRAN,HH IH L D IH B R AH N
804,CHITRA'S,CH IH T R AH Z
805,OUSEBA,UW S AH B AH
806,CONVINCINGLY,K AH N V IH N S IH NG L IY
807,HONECK,HH OW N EH K
808,WITHDRAW,W IH TH D R AO
809,KRAVCHUK,K R AA V CH UH K
810,DEET,D IY T
811,KRISTOFF,K R IH S T AO F
812,DEBERRY,D IY B EH R IY
813,MCALPINE,M AH K AE L P AY N
814,DIVERGE,D IH V ER JH
815,PERSONIFYING,P ER S AA N AH F AY IH NG
816,OPTICIAN,AA P T IH SH AH N
817,ENORMITY,IY N AO R M AH T IY
818,CROSSFIELD,K R AO S F IY L D
819,INFORMING,IH N F AO R M IH NG
820,SINUSOIDALLY,S AY N AH S OY D AH L IY
821,ARTICULATE,AA R T IH K Y AH L AH T
822,APCAR,AE P G AA R
823,PALASH,P AH L AE SH
824,MELENDREZ,M EY L EY N D R EH Z
825,GANDY,G AE N D IY
826,REMOTE,R IH M OW T
827,SENTMAN,S EH N T M AH N
828,SUNI,S UW N IY
829,PEDIGREE,P EH D AH G R IY
830,YEVGENY,Y EH V G EH N IY
831,FLAGPOLE,F L AE G P OW L
832,DERMOTT,D ER M AH T
833,PRINTOUTS,P R IH N T AW T S
834,SURCEASE,S ER S IY S
835,SUPERDOME,S UW P ER D OW M
836,BRODZINSKI,B R AH JH IH N S K IY
837,TAXPAYERS,T AE K S P EY ER Z
838,EYETECH'S,AY T EH K S
839,ASIMOV'S,AE Z IH M AA V Z
840,RUSCONI,R UW S K OW N IY
841,MCINROY,M AE K IH N R OY
842,PATNODE,P AE T N OW D
843,HEMLINE,HH EH M L AY N
844,HARLOW,HH AA R L OW
845,CHIAPPARONE,CH IY AE P ER OW N
846,DONAT,D OW N AH T
847,MALHOTRA,M AE L HH AA T R AH
848,STEMEN,S T EH M AH N
849,MCCOLLOUGH,M AH K AA L AH
850,MOLLER,M AA L ER
851,MAINE'S,M EY N Z
852,MOAK,M OW K
853,UNSHARPENED,AH N SH AA R P AH N D
854,APOLLO,AH P AA L OW
855,INNUMERABLE,IH N UW M ER AH B AH L
856,TSAI,T S AY
857,SLIGHTLY,S L AY T L IY
858,INTERRACIAL,IH N T ER R EY SH AH L
859,SHADER,SH EY D ER
860,HEROES,HH IY R OW Z
861,CARVILLE'S,K AA R V IH L Z
862,MEDICATES,M EH D IH K EY T S
863,ARTRA,AA R T R AH
864,ARTIST'S,AA R T AH S T S
865,YUCCA,Y AH K AH
866,LEHNE,L EH N
867,BLOUGH,B L AW
868,LORANCE,L AO R AH N S
869,ACREY,AE K R IY
870,PEDESTALS,P EH D AH S T AH L Z
871,WHICHEVER,HH W IH CH EH V ER
872,THIBADEAU,T IH B AH D OW
873,NEEDLE,N IY D AH L
874,FLEISCHMANN,F L AY SH M AH N
875,BARRIGER,B AE R IH G ER
876,CORDNER,K AO R D N ER
877,OZORA,AH Z AO R AH
878,LADLES,L EY D AH L Z
879,CONCOURSES,K AA N K AO R S IH Z
880,COUNTERFEIT,K AW N T ER F IH T
881,CEREMONIES,S EH R AH M OW N IY Z
882,HULETT,Y UW L IH T
883,ARDREY,AA R D R IY
884,GRADUATION,G R AE JH AH W EY SH AH N
885,POWERTRAIN,P AW R T R EY N
886,CULBRO,K AH L B R OW
887,BUGGER,B AH G ER
888,CELLA,S EH L AH
889,MALTED,M AO L T AH D
890,PREDICATING,P R EH D IH K AH T IH NG
891,HELTZEL,HH EH L T Z AH L
892,OVERZEALOUSLY,OW V ER Z EH L AH S L IY
893,CAROL,K AE R AH L
894,SKURDAL,S K ER D AH L
895,LYING,L AY IH NG
896,CLIMACTIC,K L AY M AE K T IH K
897,GRADOVS,G R EY D AO F S
898,LORENZO,L ER EH N Z OW
899,HELMSTETTER,HH EH L M S T IH T ER
900,VIEJO,V IY EH JH OW
901,OBANION,OW B AE N Y AH N
902,CAMPBELL,K AE M B AH L
903,KRINGEN,K R IH NG AH N
904,ORGANICALLY,AO R G AE N IH K L IY
905,GURAL,G Y UH R AH L
906,SCIFRES,S AY F ER Z
907,CRAB,K R AE B
908,CALLAWAY'S,K AO L AH W EY Z
909,BENAVENTE,B EH N AA V EH N T IY
910,WESTERN,W EH S T ER N
911,NORDICA,N AO R D IH K AH
912,ALGERNON,AE L JH ER N AA N
913,PLACIDA,P L AA CH IY D AH
914,GRACIANO,G R AA CH IY AA N OW
915,STONYFIELD,S T OW N IY F IY L D
916,DOHERTY,D OW ER T IY
917,WATERLOGGED,W AO T ER L AA G D
918,ROKAHR,R OW K AA R
919,BENNINGHOFF,B EH N IH NG HH AO F
920,WIEBOLD,W IY B OW L D
921,VINSANT,V IY N S AH N T
922,KENT'S,K EH N T S
923,UNDETECTED,AH N D IH T EH K T IH D
924,HOPALONG,HH AA P AH L AO NG
925,HOLECEK,HH AA L IH CH EH K
926,MEANDER,M IY AE N D ER
927,LUANDA,L UW AA N D AH
928,DUBIE,D AH B IY
929,JUJUBE,JH UW JH UW B
930,RAYNER,R EY N ER
931,NETTLED,N EH T AH L D
932,GERCHAS,G ER CH AH Z
933,VANDERKOOI,V AE N D ER K UW IY
934,KERR,K ER
935,THERE'LL,DH EH R AH L
936,ZAJDEL,Z AE JH D AH L
937,SICKENED,S IH K AH N D
938,OT,OW T IY
939,BARRICK,B AE R IH K
940,COTLER,K OW T AH L ER
941,SILOS,S AY L OW Z
942,DISCHINGER,D IH SH IH N JH ER
943,SHORTAGE,SH AO R T IH JH
944,DEHN,D EH N
945,TEPOZTLAN,T IH P AO S T L AH N
946,COMPETE,K AH M P IY T
947,MLADENIC,M L AA D EH N IH CH
948,PIOTROWSKI,P IY OW T R AO F S K IY
949,SUNK,S AH NG K
950,PRESLER,P R EH S L ER
951,DISLOYAL,D IH S L OY AH L
952,GRAVEST,G R AE V AH S T
953,OUTGROWS,AW T G R OW Z
954,SLATHERS,S L AE DH ER Z
955,RIPPLING,R IH P L IH NG
956,ACADEMICIAN,AE K AH D AH M IH SH AH N
957,SHOSH,SH OW SH
958,ANASTASI,AA N AA S T AA S IY
959,WIPER,W AY P ER
960,RAISERS,R EY Z ER Z
961,EVOLUTION,EH V OW L UW SH AH N
962,BURBLES,B ER B AH L Z
963,COPPAGE,K AA P IH JH
964,BEACHLER,B IY CH L ER
965,BENNITT,B EH N IH T
966,DAVOS,D AA V OW S
967,WIDRICK,W IH D R IH K
968,SHUMAKER,SH UW M EY K ER
969,DONOVAN'S,D AA N AH V AH N Z
970,(OPEN-PARENTHESES,OW P AH N P ER EH N TH AH S IY Z
971,PARIS,P AE R IH S
972,RIGLER,R IH G L ER
973,SUPERX,S UW P ER EH K S
974,RODS,R AA D Z
975,SAVIDGE,S AE V IH JH
976,CASABLANCA,K AE S AH B L AE NG K AH
977,COROLLARY,K AO R AH L EH R IY
978,ZAHNER,Z AA N ER
979,OUTRAGES,AW T R EY JH IH Z
980,TRIVIA,T R IH V IY AH
981,ALWALEED,AA L W AA L IY D
982,MCALLEN,M AH K AO L AH N
983,TIAACREF,T IY AH K R EH F
984,BRUISED,B R UW Z D
985,FRANCHISER,F R AE N CH AY Z ER
986,O'KELLY,OW K EH L IY
987,VIDEOTAPING,V IH D IY OW T EY P IH NG
988,KARAOKE,K EH R IY OW K IY
989,INTERFUNDING,IH N T ER F AH N D IH NG
990,RUTTS,R AH T S
991,STOMA,S T OW M AH
992,CZECHOWSKI,CH IH HH AO F S K IY
993,SAFIR,S AE F ER
994,BESSENT,B EH S AH N T
995,LIBY,L AY B IY
996,INTRAMURAL,IH N T R AH M Y UH R AH L
997,GAULTNEY,G AO L T N IY
998,S'S,EH S IH Z
999,FERGUSSON,F ER G AH S AH N
1000,MUCKEY,M AH K IY
1001,OVEX,OW V EH K S
1002,LANIER,L AH N IH R
1003,EXACERBATING,IH G Z AE S ER B EY T IH NG
1004,HESITATING,HH EH Z AH T EY T IH NG
1005,PRETENSES,P R IY T EH N S IH Z
1006,MANILLA,M AH N IH L AH
1007,BANNICK,B AE N IH K
1008,TOWERING,T AW R IH NG
1009,AEROBICALLY,EH R OW B IH K L IY
1010,ROSEATE,R OW Z IY AH T
1011,BANGING,B AE NG IH NG
1012,SCHUMER'S,SH UW M ER Z
1013,HASIDIM,HH AH S IH D IH M
1014,DOWDA,D AW D AH
1015,LORENZO'S,L ER EH N Z OW Z
1016,HARMATTAN,HH AA R M AH T AE N
1017,MONRO,M AA N R OW
1018,GILLEM,G IH L IH M
1019,UNEXERCISED,AH N EH K S ER S AY Z D
1020,JUDGMENTAL,JH AH JH M EH N AH L
1021,INDIANIANS,IH N D IY AE N IY AH N Z
1022,SATANJEEV,S AA T AA N JH IY V
1023,DONNELLEY'S,D AA N AH L IY Z
1024,OVERLOADED,OW V ER L OW D IH D
1025,FIVE'S,F AY V Z
1026,EXECS,EH G Z EH K S
1027,RADIOACTIVE,R EY D IY OW AE K T IH V
1028,WILDEY,W IH L D IY
1029,LEVIES,L EH V IY Z
1030,STUFF'S,S T AH F S
1031,CARMIKE,K AA R M AY K
1032,GENADY,JH AH N EY D IY
1033,PRODI'S,P R OW D IY Z
1034,PORTLAND'S,P AO R T L AH N D Z
1035,FIREDAMP,F AY ER D AE M P
1036,INCLEMENT,IH N K L IH M AH N T
1037,BESPECTACLED,B IH S P EH K T AH K AH L D
1038,LINWOOD,L IH N W UH D
1039,MCCOMMON,M AH K AA M AH N
1040,CHOCOLATE,CH AO K L AH T
1041,CONQUERORS,K AA NG K ER ER Z
1042,ROBINA,R AH B IY N AH
1043,PROTESTER,P R OW T EH S T ER
1044,PLANETARY,P L AE N AH T EH R IY
1045,COTTONSEED,K AA T AH N S IY D
1046,WOLINSKI,V AH L IH N S K IY
1047,HARRISBURG,HH EH R IH S B ER G
1048,FORCES,F AO R S IH Z
1049,POHL,P OW L
1050,DIVERSIONARY,D IH V ER ZH AH N EH R IY
1051,RUCKEL,R AH K AH L
1052,MARRIN,M AE R IH N
1053,TENZER,T EH N Z ER
1054,RWANDA,R AH W AA N D AH
1055,TRENDLINE,T R EH N D L AY N
1056,WOBBLING,W AA B AH L IH NG
1057,FREIHEIT,F R AY HH AY T
1058,INFLICTING,IH N F L IH K T IH NG
1059,HENRICHSEN,HH EH N R IH K S AH N
1060,DEPUTIES,D EH P Y UW T IY Z
1061,FLOE,F L OW
1062,FORMULATIONS,F AO R M Y UW L EY SH AH N Z
1063,WILAND,W AY L AH N D
1064,SO-SO,S OW S OW
1065,ECLIPSED,AH K L IH P S T
1066,VOCALTEC,V OW K AH L T EH K
1067,PRIEST,P R IY S T
1068,ANDERSONS,AE N D ER S AH N Z
1069,HEIDBRINK,HH AY D B R IH NG K
1070,TEKTRONIX,T EH K T R AA N IH K S
1071,IONIC,AY AA N IH K
1072,JERKED,JH ER K T
1073,EUROCHECK,Y UW R AH CH EH K
1074,GREENSTREET,G R IY N S T R IY T
1075,SAEED,S AA IY D
1076,STAPLES,S T EY P AH L Z
1077,TOWNSHIPS,T AW N SH IH P S
1078,MNEMONIC,N IY M AA N IH K
1079,OPTIONING,AO P SH AH N IH NG
1080,WALLAR,W AO L ER
1081,FREDO,F R IY D OW
1082,CHALLENGER,CH AE L IH N JH ER
1083,CA,K AH
1084,TOPSOIL,T AA P S OY L
1085,JANECEK,Y AE N IH CH EH K
1086,UNIX,Y UW N IH K S
1087,CARLSBAD,K AA R L S B AE D
1088,BERGSTEIN,B ER G S T AY N
1089,APOLOGETIC,AH P AA L AH JH EH T IH K
1090,DOCKED,D AA K T
1091,RESTORATIONS,R EH S T ER EY SH AH N Z
1092,DOMINEERING,D AA M AH N IH R IH NG
1093,RECOVERED,R IH K AH V ER D
1094,WIDELY,W AY D L IY
1095,ZEE,Z IY
1096,AFTERMATHS,AE F T ER M AE TH S
1097,MONTANA'S,M AA N T AE N AH Z
1098,FROEHLICH,F R OW L IH K
1099,MILDEW,M IH L D UW
1100,JOHNNY'S,JH AA N IY Z
1101,RAMAN,R EY M AH N
1102,MAERSK,M EH R S K
1103,INEDIBLE,IH N EH D AH B AH L
1104,HITSCHLER,HH IH T S L ER
1105,SILICONE,S IH L AH K OW N
1106,HOSTED,HH OW S T IH D
1107,GRINDLEY,G R IH N D L IY
1108,MCPARTLAND,M AH K P AA R T L AH N D
1109,PLUCK'S,P L AH K S
1110,BEARABLE,B EH R AH B AH L
1111,SAFEKEEPING,S EY F K IY P IH NG
1112,HADA,HH AA D AH
1113,PROFESSIONALISM,P R AH F EH SH AH N AH L IH Z AH M
1114,SCHIFFLER,SH IH F AH L ER
1115,TRIVETTE,T R IH V EH T
1116,KEYHOLE,K IY HH OW L
1117,LARGO,L AA R G OW
1118,OMANI,OW M AA N IY
1119,CARROT,K AE R AH T
1120,GOINGS-ONS,G OW IH NG Z AA N Z
1121,NATTIE,N AE T IY
1122,HUFFINGTON'S,HH AH F IH NG T AH N Z
1123,MECHANICSBURG,M AH K AE N IH K S B ER G
1124,QUAVER,K W EY V ER
1125,TYRA,T AY R AH
1126,LEKBERG,L EH K B ER G
1127,SQUATS,S K W AA T S
1128,LISENBEE,L IH S AH N B IY
1129,FUTURISM,F Y UW CH ER IH Z AH M
1130,CHSEING,CH EY NG
1131,KANKAKEE,K AE NG K IH K IY
1132,BAUCUM,B OW K AH M
1133,ADKINSON,AE D K IH N S AH N
1134,APPEALING,AH P IY L IH NG
1135,MATHIASEN,M AH TH AY AH S AH N
1136,LUCKENBILL,L AH K IH N B AH L
1137,RESTORER,R IH S T AO R ER
1138,HELLSTROM,HH EH L S T R AH M
1139,CAREMARK,K EH R M AA R K
1140,HOLMBERG,HH OW L M B ER G
1141,ITALISH,IH T AE L IH SH
1142,BRUNELLE,B R AH N EH L
1143,BEWILDERS,B IH W IH L D ER Z
1144,GILLIGAN,G IH L AH G AH N
1145,HENNEMAN,HH EH N M AH N
1146,KIRSTIN,K ER S T IH N
1147,KOLODZIEJ,K AH L AA D Z IY JH
1148,LAHN,L AE N
1149,CARSTARPHEN,K AA R S T AA R F AH N
1150,ANGORA,AE NG G AO R AH
1151,ORKEM,AO R K AH M
1152,BIELAK,B IY L AH K
1153,BUCHALTER,B AH K AH L T ER
1154,NONPACIFIST,N AA N P AE S IH F IH S T
1155,KLUGER,K L UW G ER
1156,J'S,JH EY Z
1157,KAYDON,K EY D AH N
1158,FOREIGNERS',F AO R N ER Z
1159,REKENTHALER,R EH K AH N TH AA L ER
1160,PEDDLING,P EH D L IH NG
1161,HAG,HH AE G
1162,SCONYERS,S K AO N IY ER Z
1163,NEUROLOGICAL,N UH R AH L AA JH IH K AH L
1164,GOODHART,G UH D HH AA R T
1165,LOZANO'S,L OW Z AA N OW Z
1166,EGGER,EH G ER
1167,MACCHIO,M AE K IY OW
1168,TERREBONNE,T ER EH B OW N IY
1169,SULFUROPHANE,S AH L F ER AH F EY N
1170,UNBOLTED,AH N B OW L T IH D
1171,PRIETO,P R IY T OW
1172,TANTON,T AE N T AH N
1173,DAMROW,D AE M R OW
1174,ADDIS-ABABA,AA D IH S AH B AA B AH
1175,OCTAHEDRAL,AA K T AH HH IY D R AH L
1176,STAYING,S T EY IH NG
1177,STAM,S T AE M
1178,REVITALIZE,R IY V AY T AH L AY Z
1179,FAHLMAN,F AA L M AH N
1180,BOEHNE,B OW N
1181,CAPSHAW,K AE P SH AO
1182,REINVEST,R IY IH N V EH S T
1183,ANDRESEN,AE N D R IY S AH N
1184,ELLETTE,IH L EH T
1185,DOCKLAND,D AA K L AH N D
1186,COUNTERPROPOSALS,K AW N ER P R AH P OW Z AH L Z
1187,SCHMEISER,SH M AY S ER
1188,RECREATIONAL,R EH K R IY EY SH AH N AH L
1189,PROGRESSED,P R AH G R EH S T
1190,SHORT,SH AO R T
1191,BLOWDRYER,B L OW D R AY ER
1192,POTLATCH,P AA T L AE CH
1193,ALVES,AA L V EH S
1194,ZAIREANS,Z AY IH R AH N Z
1195,WOOLSTON,W UH L S T AH N
1196,DIMING,D AY M IH NG
1197,GADHAFI'S,G AH D AA F IY Z
1198,FOREGONE,F AO R G AO N
1199,PREFERRED,P R AH F ER D
1200,KINST,K IH N S T
1201,RUDIGER,R AH D IH G ER
1202,PUS,P AH S
1203,POWERBALL,P AW ER B AO L
1204,DIMINISHING,D IH M IH N IH SH IH NG
1205,ACQUITAINE,AE K W IH T EY N
1206,WHIPSAWED,W IH P S AO D
1207,ESPINOZA,EY S P IY N OW Z AH
1208,INCURSIONS,IH N K ER ZH AH N Z
1209,CRAIN'S,K R EY N Z
1210,OBSERVATIONS,AA B Z ER V EY SH AH N Z
1211,ROAT,R OW T
1212,BURMESTER,B ER M IH S T ER
1213,MISERIES,M IH Z ER IY Z
1214,DISCONNECT,D IH S K AH N EH K T
1215,BROZ,B R AA Z
1216,WARTMAN,W AO R T M AH N
1217,QUESTION'S,K W EH S CH AH N Z
1218,POTABLE,P OW T AH B AH L
1219,MONGOSUTU,M AA NG G OW S UW T UW
1220,MALWARE,M AE L W EH R
1221,WISECRACK,W AY Z K R AE K
1222,LENKER,L EH NG K ER
1223,SANCTIONED,S AE NG SH AH N D
1224,GORDON'S,G AO R D AH N Z
1225,EMBEZZLING,IH M B EH Z AH L IH NG
1226,PHILANTHA,F IH L AE N TH AH
1227,BIBBINS,B IH B IH N Z
1228,CAPTAIN'S,K AE P T AH N Z
1229,ELGAR,EH L G ER
1230,FULLBACKS,F UH L B AE K S
1231,FOOTNOTING,F UH T N OW T IH NG
1232,FLAGLER,F L AE G L ER
1233,MERIEUX,M EH R IY UW
1234,COMPLAINT,K AH M P L EY N T
1235,LINHARES,L IH N HH ER Z
1236,KAYA,K AA Y AH
1237,KRUPMAN,K R AH P M AH N
1238,ELMOOTAZBELL,EH L M UW T AH Z B EH L
1239,BIRMAN,B ER M AH N
1240,CATALYZED,K AE T AH L AY Z D
1241,HERE'S,HH IH R Z
1242,PISONI,P IH S OW N IY
1243,KOREAN'S,K ER IY AH N Z
1244,GRIPES,G R AY P S
1245,RESERVATIONISTS,R EH Z ER V EY SH AH N IH S T S
1246,KAYAKING,K AY AE K IH NG
1247,ECKLAND,EH K L AH N D
1248,VIED,V AY D
1249,COFER,K OW F ER
1250,THRUSHES,TH R AH SH IH Z
1251,RETICENT,R EH T IH S AH N T
1252,GOTBAUM,G AA T B AO M
1253,OSTERHOFF,OW S T ER HH AO F
1254,NASDAQ'S,N AE Z D AE K S
1255,CARUTH,K AE R UW TH
1256,TRAVOLTAS,T R AH V OW L T AH Z
1257,SEQUENCING,S IY K W AH N S IH NG
1258,CENITH,S EH N IH TH
1259,STRAYS,S T R EY Z
1260,GRIGORY,G R IY G ER IY
1261,SEMIGLOSS,S EH M IH G L AA S
1262,ACCURACIES,AE K Y ER AH S IY Z
1263,APSO,AE P S OW
1264,CARROLL'S,K AE R AH L Z
1265,RICHESIN,R IH K IH S IH N
1266,BATTEN,B AE T AH N
1267,AYSCUE,EY S K Y UW
1268,ACTOR,AE K T ER
1269,SHADOWS,SH AE D OW Z
1270,AMERONGEN,AE M ER AO N JH AH N
1271,COAUTHORING,K OW AA TH ER IH NG
1272,SIROIS,S AY R W AA
1273,BETWEENS,B IY T W IY N Z
1274,CZECHS,CH EH K S
1275,LEUTWILER,L UW T W AY L ER
1276,ROAD'S,R OW D Z
1277,PREOCCUPIES,P R IY AA K Y AH P AY Z
1278,VY,V AY
1279,TROTH,T R OW TH
1280,FLORESCUE,F L AO R AH S K Y UW
1281,DISTEL,D IH S T AH L
1282,JANISZEWSKI,Y AH N IH SH EH F S K IY
1283,WHILES,HH W AY L Z
1284,NOVACOR,N OW V AH K AO R
1285,CUSO,K UW S OW
1286,DILG,D IH L G
1287,GOTSHAL'S,G AA CH AH L Z
1288,WHEEZES,HH W IY Z AH Z
1289,TAILING,T EY L IH NG
1290,GNOMONIC,N OW M AA N IH K
1291,BARRAGES,B ER AA ZH IH Z
1292,ALLEGIANCES,AE L IY JH IY AE N S IH Z
1293,CHRISTY'S,K R IH S T IY Z
1294,MCCARGAR,M AH K AA R G ER
1295,LAZARSKI,L AH Z AA R S K IY
1296,DROESSLER,D R OW S AH L ER
1297,GOHLKE,G AA K
1298,AMAX,EY M AE K S
1299,DASTARDLY,D AE S T ER D L IY
1300,SURTAX,S ER T AE K S
1301,STANDPOINT,S T AE N D P OY N T
1302,MAGNETI,M AE G N EH T IY
1303,INTAGLIO,IH N T AE G L Y OW
1304,HOOVLER,HH UW V L ER
1305,DISEQUILIBRIUM,D IH S IY K W AH L IH B R IY AH M
1306,PURYEAR,P ER Y IH R
1307,OXIDIZER,AA K S IH D AY Z ER
1308,OUTGOING,AW T G OW IH NG
1309,GEROUX,ZH ER UW
1310,BENEZRA,B EH N AH Z R AH
1311,HEP,HH EH P
1312,GOTSHALL,G AA CH AH L
1313,UTLEY,AH T L IY
1314,LANDSBERGIS,L AE N D Z B ER G AH S
1315,SUBWAY,S AH B W EY
1316,EPISTOLARY,IH P IH S T AH L EH R IY
1317,HANDHOLD,HH AE N D HH OW L D
1318,HEADLINING,HH EH D L AY N IH NG
1319,THORA,TH AO R AH
1320,MATO,M AA T OW
1321,FIAT,F AY AE T
1322,DERBY,D ER B IY
1323,OLESKY,AH L EH S K IY
1324,DECAYING,D AH K EY IH NG
1325,RETO,R IY T UW
1326,BENNY,B EH N IY
1327,KANKAKU,K AA N K AA K UW
1328,PEFFER,P EH F ER
1329,ETRUSCANS,IH T R AH S K AH N Z
1330,GWYNETH,G W IH N AH TH
1331,BABS,B AE B Z
1332,FELLEISEN,F EH L AY S AH N
1333,RAGU,R AE G UW
1334,DALLARA,D AE L AA R AH
1335,NACCHIO,N AE K IY OW
1336,PHILADELPHIA'S,F IH L AH D EH L F IY AH Z
1337,STREETT,S T R IY T
1338,LUN,L AH N
1339,GLOOMY,G L UW M IY
1340,CRUISER,K R UW Z ER
1341,SURROGATION,S ER AH G EY SH AH N
1342,DUBAI,D UW B AY
1343,TRENT,T R EH N T
1344,CARTOONISTS,K AA R T UW N IH S T S
1345,ROMINGER,R OW M IH NG ER
1346,STOCKHAM,S T AA K HH AH M
1347,VANLEER,V AE N L IH R
1348,RUJITH,R UW JH IY TH
1349,SPIELBERG,S P IY L B ER G
1350,IGON,AY G AH N
1351,LAFITTE,L AH F IH T
1352,SPOROPHYTE,S P AO R F AY T
1353,MANIFEST,M AE N AH F EH S T
1354,DIEM,D IY M
1355,NATALIE,N AE T AH L IY
1356,JARMON,Y AA R M AO N
1357,BABYSIT,B EY B IY S IH T
1358,REICH,R AY K
1359,WM,D AH B AH Y UW EH M
1360,DIRECTORS(4),D IH R EH K T ER Z
1361,RUDISILL,R AH D IH S IH L
1362,ETTIE,EH T IY
1363,OUTMANEUVERING,AW T M AH N UW V ER IH NG
1364,ATTACHE,AE T AH SH EY
1365,SOUZAS,S UW Z AH Z
1366,BEDARD,B IH D AA R D
1367,PHYLE,F AY L
1368,COINING,K OY N IH NG
1369,DAME,D EY M
1370,WONDERLY,W AH N D ER L IY
1371,BEARD,B IH R D
1372,MUSLIN,M AH Z L AH N
1373,READINGER,R EH D IH NG ER
1374,DISINTEGRATES,D IH S IH N T AH G R EY T S
1375,RUBIOS,R UW B IY OW Z
1376,GUENETTE,G IH N EH T
1377,GRAEF,G R IY F
1378,DANJU'S,D AE N JH UW Z
1379,DEMANDINGLY,D IH M AE N D IH NG L IY
1380,HOW-MANY,HH AW M EH N IY
1381,MONETARIST,M AA N AH T ER IH S T
1382,DUREE,D UH R IY
1383,HAMSON,HH AE M S AH N
1384,QAWI,K AA W IY
1385,SCALPER,S K AE L P ER
1386,DECLERCQ'S,D AH K L ER K S
1387,VEXED,V EH K S T
1388,KOUGH,K AW
1389,BAER,B EH R
1390,COINCIDENCES,K OW IH N S AH D AH N S IH Z
1391,UNCOILED,AH N K OY L D
1392,IMPERVIOUS,IH M P ER V IY AH S
1393,CAGUAS,K AA G W AA S
1394,DECENNIAL,D AH S EH N IY AH L
1395,OSWALT,AA S W AH L T
1396,ACCOMPLICE,AH K AA M P L AH S
1397,SUPPLEMENTARY(4),S AH P L AH M EH N CH R IY
1398,AIGNER,EY K N ER
1399,JUDGING,JH AH JH IH NG
1400,WHALERS,W EY L ER Z
1401,CASAUS,K AE S AO Z
1402,WAIVERS,W EY V ER Z
1403,BIOSPHERIAN,B AY OW S F IH R IY AH N
1404,ENGINE,EH N JH AH N
1405,DEBTOR'S,D EH T ER Z
1406,WEBBER'S,W EH B ER Z
1407,CRIMINOLOGIST,K R IH M IH N AA L AH JH IH S T
1408,TRANSFUSE,T R AE N S F Y UW Z
1409,TRIGGER,T R IH G ER
